10102,AL,,,,,,,,,,,,
10202,GA,,,,,,,,,,,,
07102,AR,,,,,,,,,,,,
04212,NM,,,,,,,,,,,,
04312,OK,,,,,,,,,,,,
05302,MO,,,,,,,,,,,,
07202,LA,,,,,,,,,,,,
12102,DE,,,,,,,,,,,,
12202,DC,,,,,,,,,,,,
09102,FL,,,,,,,,,,,,
08102,IN,,,,,,,,,,,,
05102,IA,,,,,,,,,,,,
05202,KS,,,,,,,,,,,,
05402,NE,,,,,,,,,,,,
15102,KY,,,,,,,,,,,,
03202,MT,,,,,,,,,,,,
13282,NY,,,,,,,,,,,,
13202,NY,,,,,,,,,,,,
12402,NJ,,,,,,,,,,,,
03302,ND,,,,,,,,,,,,
03402,SD,,,,,,,,,,,,
03602,WY,,,,,,,,,,,,
02402,WA,,,,,,,,,,,,
02102,AK,,,,,,,,,,,,
03102,AZ,,,,,,,,,,,,
01312,NV,,,,,,,,,,,,
04112,CO,,,,,,,,,,,,
01212,HI,,,,,,,,,,,,
02302,OR,,,,,,,,,,,,
12502,PA,,,,,,,,,,,,
14412,RI,,,,,,,,,,,,
11202,SC,,,,,,,,,,,,
04412,TX,,,,,,,,,,,,
12302,MD,,,,,,,,,,,,
03502,UT,,,,,,,,,,,,
06302,WI,,,,,,,,,,,,
06102,IL,,,,,,,,,,,,
08202,MI,,,,,,,,,,,,
09202,PRV,,,,,,,,,,,,
01182,CA,,,,,,,,,,,,
02202,ID,,,,,,,,,,,,
10302,TN,,,,,,,,,,,,
11502,NC,,,,,,,,,,,,
13102,CT,,,,,,,,,,,,
06202,MN,,,,,,,,,,,,
07302,MS,,,,,,,,,,,,
11302,VA,,,,,,,,,,,,
15202,OH,,,,,,,,,,,,
11402,WV,,,,,,,,,,,,
14112,ME,,,,,,,,,,,,
14212,MA,,,,,,,,,,,,
14312,NH,,,,,,,,,,,,
14512,VT,,,,,,,,,,,,
